Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
0, 17983.855837338855, 7.7889603344863065, 1.16161838379293e-07, 0, 12, 42.04, 44.29, 0.0, 3.1998087466054392
1, 67925.25070055497, 0.2259456092746448, 3.798305074749898e-07, 0, 5, 24.64, 25.13, 0.0, 3.555457171021912
2, 0.02186974655009471, 441.5903062672357, 9.337160921953422e-07, 0, 7, 94.04, 94.19, 96.25766584690098, 63.139092779705784
3, 424.55082338522334, 1230.171950453816, 0.0007624338129211263, 0, 15, 9.8, 9.91, 100.0, 114.88527521654093
4, 2.3448614537547545, 69.56763293296956, 5.266930858285221e-06, 0, 4, 90.18, 90.47, 0.0, 3.9999003853840454
5, 0.008186267606676892, 77.19216863979398, 0.00018595556494963955, 0, 10, 39.46, 40.6, 97.83488466208013, 77.65919993956106
6, 0.07323962192740355, 0.3295211546894402, 1.7375175471676173e-07, 0, 3, 93.78, 93.97, 0.0, 3.999925288572887
7, 0.08076562580268191, 556.8363000043694, 0.0009957927162935049, 0, 15, 33.95, 34.47, 97.83737508949973, 77.67093581170425
8, 0.16143875976966598, 56.34488439754888, 4.3973241056673016e-05, 0, 15, 30.01, 28.98, 97.82227687326838, 77.32039565233744
9, 0.006656442541150115, 1056.9339582068724, 4.0032894512495364e-08, 0, 4, 94.26, 94.64, 0.0, 3.9999003853840454
10, 0.0474003174231212, 522.7110953301813, 5.59188966632534e-05, 0, 8, 9.8, 9.91, 100.0, 127.78995394053916
11, 43469.39479554905, 901.0999160284365, 7.084036035497351e-07, 0, 12, 79.65, 79.95, 0.0, 3.1998087466054392
12, 18832.2557633472, 2082.2960748290116, 6.649897349444076e-07, 0, 11, 76.48, 77.17, 0.0, 3.1998246835151454
13, 6.1250462868003295, 14.114262917692287, 1.067983278900412e-05, 0, 14, 92.28, 92.39, 0.0, 3.19977687326227
14, 653.777074591304, 50.63697732632825, 6.722249823896895e-05, 0, 13, 31.44, 31.12, 0.0, 3.1997928098544812
15, 85.62827349084033, 3.5755654042283034, 1.9061249550436586e-08, 0, 10, 96.14, 96.41, 89.55032219904741, 27.779426270487928
