Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
0, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 13.41, 14.02, 0.0, 3.5552710734172277
1, 18105.58243027124, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 21.87, 22.74, 0.0, 3.5552710734172277
2, 0.05725487884358381, 0.16962590880724215, 3.9153756672351225e-06, 0, 6, 18.15, 19.31, 0.0, 3.5552710734172277
3, 0.05725487884358381, 0.3043676123956402, 0.0003141017185010456, 0, 6, 9.8, 9.91, 100.0, 127.62947670765641
4, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 13.41, 14.02, 0.0, 3.5552710734172277
5, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 3, 27.73, 27.47, 0.0, 3.999819969844949
6, 0.05725487884358381, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999819969844949
7, 18105.58243027124, 0.3043676123956402, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999819969844949
8, 18105.58243027124, 0.16962590880724215, 3.9153756672351225e-06, 0, 3, 9.8, 9.91, 0.0, 3.999819969844949
9, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999819969844949
10, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 6, 9.8, 9.91, 0.0, 3.5552710734172277
11, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999819969844949
12, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 13, 84.77, 85.34, 0.0, 3.1995007717936064
13, 1.8105582430271239, 96.24949011575222, 1.23815050036645e-08, 0, 13, 90.9, 92.15, 0.0, 3.1995007717936064
14, 572.5487884358386, 53.64042220069004, 1.23815050036645e-08, 0, 13, 63.84, 64.29, 0.0, 3.1995007717936064
15, 572.5487884358386, 96.24949011575222, 9.932768474363525e-07, 0, 13, 75.68, 75.69, 0.0, 3.1995007717936064
16, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 13, 84.77, 85.34, 0.0, 3.1995007717936064
17, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 10, 79.03, 78.88, 97.21840891189377, 66.62127127908792
18, 572.5487884358386, 53.64042220069004, 9.932768474363525e-07, 0, 10, 65.44, 64.89, 0.0, 3.199615964476714
19, 1.8105582430271239, 96.24949011575222, 9.932768474363525e-07, 0, 10, 9.8, 9.91, 100.0, 114.70180155955902
20, 1.8105582430271239, 53.64042220069004, 1.23815050036645e-08, 0, 10, 87.2, 87.75, 0.0, 3.199615964476714
21, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 10, 9.8, 9.91, 100.0, 114.70180155955902
22, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 13, 9.8, 9.91, 100.0, 114.55395026585745
23, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 10, 9.8, 9.91, 100.0, 114.70180155955902
24, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 0, 9, 11.35, 10.64, 0.0, 3.1996543638810255
25, 0.01810558243027123, 5.412506582058746, 6.962631931611631e-05, 0, 9, 9.8, 9.91, 100.0, 114.75117017270135
26, 57254.87884358398, 3.016422610410587, 6.962631931611631e-05, 0, 9, 11.35, 10.64, 0.0, 3.1996543638810255
27, 57254.87884358398, 5.412506582058746, 5.585606186682504e-08, 0, 9, 11.35, 12.47, 0.0, 3.1996543638810255
28, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 0, 9, 11.35, 10.64, 0.0, 3.1996543638810255
29, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 0, 13, 11.35, 10.64, 0.0, 3.1995007717936064
30, 57254.87884358398, 3.016422610410587, 5.585606186682504e-08, 0, 13, 41.63, 42.87, 0.0, 3.1995007717936064
31, 0.01810558243027123, 5.412506582058746, 5.585606186682504e-08, 0, 13, 88.54, 89.29, 0.0, 3.1995007717936064
32, 0.01810558243027123, 3.016422610410587, 6.962631931611631e-05, 0, 13, 9.8, 9.91, 100.0, 114.55395026585745
33, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 0, 13, 89.53, 90.38, 79.58291136866585, 14.88827927041233
34, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 0, 9, 92.52, 93.02, 0.0, 3.1996543638810255
35, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 0, 13, 89.53, 90.38, 79.58291136866585, 14.88827927041233
36, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 8.92, 9.15, 94.85653201305277, 56.22607687035377
37, 181.0558243027123, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 7.03, 7.51, 94.95105209857094, 57.028877005347596
38, 5.725487884358383, 953.8765834528191, 2.201777541331045e-07, 0, 3, 9.74, 10.09, 94.64423690034133, 54.83263921024217
39, 5.725487884358383, 1711.5848649958707, 1.766323766264439e-05, 0, 3, 27.95, 28.13, 0.0, 3.999819969844949
40, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 8.92, 9.15, 94.85653201305277, 56.22607687035377
41, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 7, 9.8, 9.91, 100.0, 127.56840814617662
42, 5.725487884358383, 953.8765834528191, 1.766323766264439e-05, 0, 7, 9.8, 9.91, 100.0, 127.56840814617662
43, 181.0558243027123, 1711.5848649958707, 1.766323766264439e-05, 0, 7, 19.82, 20.09, 0.0, 3.5552236641533117
44, 181.0558243027123, 953.8765834528191, 2.201777541331045e-07, 0, 7, 9.8, 9.91, 100.0, 127.56840814617662
45, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 0, 7, 16.31, 17.18, 0.0, 3.5552236641533117
46, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 0, 3, 32.82, 34.92, 0.0, 3.999819969844949
47, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 0, 7, 16.31, 17.18, 0.0, 3.5552236641533117
48, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 0, 5, 9.8, 9.91, 100.0, 127.69060376567785
49, 1810.5582430271252, 22.824351004383605, 5.2212373672288026e-08, 0, 5, 84.74, 84.78, 0.0, 3.5553184839455754
50, 0.5725487884358382, 12.720148676730615, 5.2212373672288026e-08, 0, 5, 9.8, 9.91, 100.0, 127.69060376567785
51, 0.5725487884358382, 22.824351004383605, 1.3245559641279942e-08, 0, 5, 91.14, 92.0, 0.0, 3.5553184839455754
52, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 0, 5, 9.8, 9.91, 100.0, 127.69060376567785
53, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 0, 12, 88.43, 88.8, 80.80904692247103, 15.789929559478377
54, 0.5725487884358382, 12.720148676730615, 1.3245559641279942e-08, 0, 12, 92.35, 92.76, 0.0, 3.199539168433038
55, 1810.5582430271252, 22.824351004383605, 1.3245559641279942e-08, 0, 12, 63.33, 64.7, 0.0, 3.199539168433038
56, 1810.5582430271252, 12.720148676730615, 5.2212373672288026e-08, 0, 12, 43.01, 43.14, 0.0, 3.199539168433038
57, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 0, 12, 50.2, 51.57, 0.0, 3.199539168433038
58, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 0, 5, 82.17, 82.49, 0.0, 3.5553184839455754
59, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 0, 12, 50.2, 51.57, 0.0, 3.199539168433038
60, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 0, 11, 30.23, 29.86, 0.0, 3.1995775659940624
61, 0.18105582430271236, 7217.693528900402, 1.6511002284824024e-05, 0, 11, 9.8, 9.91, 100.0, 114.65247540719238
