Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
0, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 21, 6, 97.28, 97.45, 90.16576907511752, 32.11838298244627
1, 18105.58243027124, 0.3043676123956402, 3.9153756672351225e-06, 21, 6, 25.08, 24.03, 0.0, 3.5554374947685465
2, 0.05725487884358381, 0.16962590880724215, 3.9153756672351225e-06, 21, 6, 97.9, 97.92, 91.56554493664976, 36.64891151660356
3, 0.05725487884358381, 0.3043676123956402, 0.0003141017185010456, 21, 6, 41.44, 42.11, 99.69180960682377, 118.10469231122754
4, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 16, 6, 96.28, 96.47, 87.23515860909629, 25.505166482437435
5, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 21, 3, 97.57, 97.42, 0.0, 3.999925288572887
6, 0.05725487884358381, 0.16962590880724215, 0.0003141017185010456, 16, 3, 23.28, 23.45, 0.0, 3.999925288572887
7, 18105.58243027124, 0.3043676123956402, 0.0003141017185010456, 16, 3, 12.25, 12.54, 0.0, 3.999925288572887
8, 18105.58243027124, 0.16962590880724215, 3.9153756672351225e-06, 16, 3, 23.23, 22.79, 0.0, 3.999925288572887
9, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 21, 3, 18.18, 18.2, 0.0, 3.999925288572887
10, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 16, 6, 16.76, 17.3, 0.0, 3.5554374947685465
11, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 16, 3, 10.17, 10.63, 0.0, 3.999925288572887
12, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 6, 13, 88.94, 88.78, 96.22700245929707, 58.85927291675017
13, 1.8105582430271239, 96.24949011575222, 1.23815050036645e-08, 6, 13, 85.41, 85.67, 0.0, 3.1997928098544812
14, 572.5487884358386, 53.64042220069004, 1.23815050036645e-08, 6, 13, 89.07, 89.17, 96.35899511253619, 60.0103915513185
15, 572.5487884358386, 96.24949011575222, 9.932768474363525e-07, 6, 13, 93.72, 94.15, 95.6792640786975, 51.43717818487513
16, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 1, 13, 97.34, 97.15, 94.52401705942782, 45.440062240847325
17, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 6, 10, 84.64, 84.92, 0.0, 3.1998406205836027
18, 572.5487884358386, 53.64042220069004, 9.932768474363525e-07, 1, 10, 20.2, 20.13, 0.0, 3.1998406205836027
19, 1.8105582430271239, 96.24949011575222, 9.932768474363525e-07, 1, 10, 38.32, 39.28, 99.74301902063941, 107.78965029098725
20, 1.8105582430271239, 53.64042220069004, 1.23815050036645e-08, 1, 10, 97.76, 97.78, 0.0, 3.1998406205836027
21, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 6, 10, 9.8, 9.91, 100.0, 114.9880865820236
22, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 1, 13, 9.8, 9.91, 100.0, 114.92637769305591
23, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 1, 10, 46.27, 48.1, 99.77212589110606, 108.64408391904033
24, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 28, 9, 93.19, 93.57, 0.0, 3.199856557810813
25, 0.01810558243027123, 5.412506582058746, 6.962631931611631e-05, 28, 9, 9.8, 9.91, 100.0, 115.00867094060126
26, 57254.87884358398, 3.016422610410587, 6.962631931611631e-05, 28, 9, 92.94, 93.27, 0.0, 3.199856557810813
27, 57254.87884358398, 5.412506582058746, 5.585606186682504e-08, 28, 9, 13.36, 13.45, 0.0, 3.199856557810813
28, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 8, 9, 11.29, 12.52, 0.0, 3.199856557810813
29, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 28, 13, 93.67, 93.84, 0.0, 3.1997928098544812
30, 57254.87884358398, 3.016422610410587, 5.585606186682504e-08, 8, 13, 10.3, 10.89, 0.0, 3.1997928098544812
31, 0.01810558243027123, 5.412506582058746, 5.585606186682504e-08, 8, 13, 92.03, 92.72, 0.0, 3.1997928098544812
32, 0.01810558243027123, 3.016422610410587, 6.962631931611631e-05, 8, 13, 9.8, 9.91, 100.0, 114.92637769305591
33, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 28, 13, 9.8, 9.91, 0.0, 3.1997928098544812
34, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 8, 9, 91.76, 92.29, 0.0, 3.199856557810813
35, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 8, 13, 90.44, 90.51, 0.0, 3.1997928098544812
36, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 13, 3, 84.92, 86.06, 0.0, 3.999925288572887
37, 181.0558243027123, 1711.5848649958707, 2.201777541331045e-07, 13, 3, 92.3, 92.18, 0.0, 3.999925288572887
38, 5.725487884358383, 953.8765834528191, 2.201777541331045e-07, 13, 3, 88.56, 88.62, 0.0, 3.999925288572887
39, 5.725487884358383, 1711.5848649958707, 1.766323766264439e-05, 13, 3, 92.45, 93.01, 0.0, 3.999925288572887
40, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 23, 3, 78.01, 78.17, 0.0, 3.999925288572887
41, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 13, 7, 25.27, 25.57, 0.0, 3.5554178187329613
42, 5.725487884358383, 953.8765834528191, 1.766323766264439e-05, 23, 7, 9.74, 10.09, 95.29262522180369, 54.558462926596256
43, 181.0558243027123, 1711.5848649958707, 1.766323766264439e-05, 23, 7, 9.8, 9.91, 100.0, 127.81537734617369
44, 181.0558243027123, 953.8765834528191, 2.201777541331045e-07, 23, 7, 83.51, 83.86, 0.0, 3.5554178187329613
45, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 13, 7, 92.5, 92.77, 97.81542819786446, 79.75668042580925
46, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 23, 3, 10.09, 9.61, 94.06406624536936, 51.917008424412614
47, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 23, 7, 9.8, 9.91, 100.0, 127.81537734617369
48, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 10, 5, 78.09, 78.19, 0.0, 3.555457171021912
49, 1810.5582430271252, 22.824351004383605, 5.2212373672288026e-08, 10, 5, 30.38, 31.29, 0.0, 3.555457171021912
50, 0.5725487884358382, 12.720148676730615, 5.2212373672288026e-08, 10, 5, 81.23, 83.0, 0.0, 3.555457171021912
51, 0.5725487884358382, 22.824351004383605, 1.3245559641279942e-08, 10, 5, 71.61, 71.47, 0.0, 3.555457171021912
52, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 12, 5, 76.81, 78.02, 0.0, 3.555457171021912
53, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 10, 12, 80.0, 80.26, 0.0, 3.1998087466054392
54, 0.5725487884358382, 12.720148676730615, 1.3245559641279942e-08, 12, 12, 65.87, 67.17, 0.0, 3.1998087466054392
