Exp, Mean, Var, Tau, Temp, Mixtures, conv1_val, conv1_sp, conv2_val, conv2_sp, fc1_val, fc1_sp, fc2_val, fc_2sp, Test Acc, Val Acc
0, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 14, 6, 30.58, 14.76923076923077, 10.09, 14.76923076923077, 10.09, 96.67210231814548, 93.01, 93.25349301397206, 9.8, 9.91
1, 18105.58243027124, 0.3043676123956402, 3.9153756672351225e-06, 14, 6, 30.09, 71.38461538461539, 71.37, 71.38461538461539, 87.56, 98.88153477218225, 81.95, 96.76646706586827, 8.81, 9.02
2, 0.05725487884358381, 0.16962590880724215, 3.9153756672351225e-06, 14, 6, 34.91, 13.846153846153847, 10.09, 13.846153846153847, 10.09, 96.26458832933653, 94.9, 93.13373253493013, 9.8, 9.91
3, 0.05725487884358381, 0.3043676123956402, 0.0003141017185010456, 14, 6, 98.08, 79.38461538461539, 10.09, 79.38461538461539, 88.02, 97.47913669064748, 95.0, 94.2115768463074, 9.8, 9.91
4, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 11, 6, 30.59, 14.76923076923077, 10.09, 14.76923076923077, 10.09, 96.66586730615508, 94.38, 92.55489021956087, 9.8, 9.91
5, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 14, 3, 33.38, 23.692307692307693, 10.1, 23.692307692307693, 23.46, 97.03948840927258, 91.13, 93.37325349301398, 9.8, 9.91
6, 0.05725487884358381, 0.16962590880724215, 0.0003141017185010456, 11, 3, 97.85, 79.38461538461539, 10.28, 79.38461538461539, 10.09, 97.3849720223821, 95.13, 94.11177644710578, 9.8, 9.91
7, 18105.58243027124, 0.3043676123956402, 0.0003141017185010456, 11, 3, 97.11, 86.92307692307692, 14.89, 86.92307692307692, 25.03, 99.80639488409273, 85.2, 96.7065868263473, 9.8, 9.91
8, 18105.58243027124, 0.16962590880724215, 3.9153756672351225e-06, 11, 3, 37.07, 86.92307692307692, 56.97, 86.92307692307692, 12.62, 99.90167865707434, 84.86, 96.62674650698602, 9.8, 9.91
9, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 14, 3, 97.11, 86.92307692307692, 14.89, 86.92307692307692, 24.71, 99.80719424460432, 85.2, 96.7065868263473, 9.8, 9.91
10, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 11, 6, 97.49, 83.23076923076923, 61.94, 83.23076923076923, 53.37, 99.61950439648281, 85.62, 96.54690618762474, 5.12, 5.31
11, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 11, 3, 97.11, 86.92307692307692, 14.89, 86.92307692307692, 25.15, 99.807034372502, 85.2, 96.7065868263473, 9.8, 9.91
12, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 5, 13, 35.37, 20.307692307692307, 97.61, 20.307692307692307, 95.31, 96.11958433253398, 91.58, 82.09580838323353, 18.23, 20.33
13, 1.8105582430271239, 96.24949011575222, 1.23815050036645e-08, 5, 13, 32.67, 0.0, 10.09, 0.0, 10.09, 96.69192645883294, 74.7, 60.85828343313373, 9.58, 9.67
14, 572.5487884358386, 53.64042220069004, 1.23815050036645e-08, 5, 13, 37.61, 20.46153846153846, 97.57, 20.46153846153846, 95.26, 96.11159072741806, 92.72, 82.01596806387226, 18.31, 20.29
15, 572.5487884358386, 96.24949011575222, 9.932768474363525e-07, 5, 13, 35.75, 25.846153846153847, 97.01, 25.846153846153847, 87.1, 98.58033573141486, 90.49, 89.76047904191617, 11.41, 11.91
16, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 2, 13, 35.37, 20.307692307692307, 97.61, 20.307692307692307, 95.23, 96.1267785771383, 97.25, 80.79840319361278, 22.34, 23.24
17, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 5, 10, 39.94, 22.46153846153846, 97.49, 22.46153846153846, 95.35, 96.36754596322942, 91.78, 84.8502994011976, 15.25, 15.09
18, 572.5487884358386, 53.64042220069004, 9.932768474363525e-07, 2, 10, 30.39, 28.307692307692307, 96.17, 28.307692307692307, 81.09, 98.88313349320543, 95.7, 89.24151696606786, 10.79, 10.94
19, 1.8105582430271239, 96.24949011575222, 9.932768474363525e-07, 2, 10, 10.09, 0.0, 10.09, 0.0, 10.09, 96.84060751398881, 96.07, 71.67664670658682, 9.8, 9.91
20, 1.8105582430271239, 53.64042220069004, 1.23815050036645e-08, 2, 10, 33.07, 0.0, 10.09, 0.0, 10.09, 96.84284572342126, 93.84, 38.36327345309381, 9.8, 9.91
21, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 5, 10, 10.09, 0.0, 10.09, 0.0, 10.09, 96.79968025579537, 9.91, 0.0, 9.8, 9.91
22, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 2, 13, 10.09, 0.0, 10.09, 0.0, 10.09, 96.66858513189447, 95.3, 0.0, 9.8, 9.91
23, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 2, 10, 10.09, 0.0, 10.09, 0.0, 10.09, 96.80063948840927, 95.83, 71.47704590818364, 9.8, 9.91
24, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 19, 10, 95.77, 74.46153846153845, 75.55, 74.46153846153845, 71.14, 98.78385291766587, 85.69, 96.64670658682635, 8.49, 9.13
25, 0.01810558243027123, 5.412506582058746, 6.962631931611631e-05, 19, 10, 10.09, 0.0, 10.09, 0.0, 10.09, 93.89912070343726, 94.5, 94.01197604790418, 9.8, 9.91
26, 57254.87884358398, 3.016422610410587, 6.962631931611631e-05, 19, 10, 95.77, 74.46153846153845, 73.92, 74.46153846153845, 70.86, 98.7816147082334, 85.7, 96.64670658682635, 9.7, 10.39
27, 57254.87884358398, 5.412506582058746, 5.585606186682504e-08, 19, 10, 24.03, 81.84615384615384, 84.86, 81.84615384615384, 89.72, 95.63197442046362, 62.38, 90.89820359281437, 14.42, 15.09
28, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 6, 10, 95.77, 74.46153846153845, 73.05, 74.46153846153845, 70.37, 98.79232613908873, 85.4, 96.74650698602795, 8.73, 8.79
29, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 19, 14, 94.9, 74.0, 80.56, 74.0, 82.15, 98.73077537969624, 85.48, 96.58682634730539, 15.1, 14.81
30, 57254.87884358398, 3.016422610410587, 5.585606186682504e-08, 6, 14, 15.42, 72.61538461538461, 85.36, 72.61538461538461, 90.72, 97.3031175059952, 77.65, 92.99401197604791, 8.78, 8.3
31, 0.01810558243027123, 5.412506582058746, 5.585606186682504e-08, 6, 14, 32.87, 0.0, 10.09, 0.0, 10.09, 96.71846522781775, 87.88, 45.209580838323355, 9.8, 9.91
32, 0.01810558243027123, 3.016422610410587, 6.962631931611631e-05, 6, 14, 10.09, 0.0, 10.09, 0.0, 10.09, 82.87434052757794, 94.23, 94.05189620758483, 9.8, 9.91
33, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 19, 14, 32.86, 0.0, 10.09, 0.0, 10.09, 96.7162270183853, 78.09, 83.8323353293413, 9.8, 9.91
34, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 6, 10, 32.71, 0.0, 10.09, 0.0, 10.09, 96.93429256594725, 85.73, 57.02594810379241, 9.58, 9.67
35, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 6, 14, 32.88, 0.0, 10.09, 0.0, 10.09, 96.70567545963229, 87.86, 46.20758483033932, 9.8, 9.91
