Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
0, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 14, 6, 8.68, 8.99, 97.80951343274289, 85.24611372108356
1, 18105.58243027124, 0.3043676123956402, 3.9153756672351225e-06, 14, 6, 14.98, 14.28, 0.0, 3.555358791932845
2, 0.05725487884358381, 0.16962590880724215, 3.9153756672351225e-06, 14, 6, 7.39, 7.01, 97.81854123213897, 85.48857517100859
3, 0.05725487884358381, 0.3043676123956402, 0.0003141017185010456, 14, 6, 8.94, 9.23, 97.91582355321732, 87.67044776119403
4, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 11, 6, 10.65, 10.47, 97.82321078355073, 85.57504516279418
5, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 14, 3, 80.19, 80.81, 0.0, 3.9998256776780265
6, 0.05725487884358381, 0.16962590880724215, 0.0003141017185010456, 11, 3, 8.4, 8.58, 0.0, 3.9998256776780265
7, 18105.58243027124, 0.3043676123956402, 0.0003141017185010456, 11, 3, 9.8, 9.91, 0.0, 3.9998256776780265
8, 18105.58243027124, 0.16962590880724215, 3.9153756672351225e-06, 11, 3, 9.8, 9.91, 0.0, 3.9998256776780265
9, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 14, 3, 9.8, 9.91, 0.0, 3.9998256776780265
10, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 11, 6, 9.8, 9.91, 0.0, 3.555358791932845
11, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 11, 3, 9.8, 9.91, 0.0, 3.9998256776780265
12, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 5, 13, 93.9, 94.08, 95.90822774958752, 55.294510010650775
13, 1.8105582430271239, 96.24949011575222, 1.23815050036645e-08, 5, 13, 9.8, 9.91, 0.0, 3.1997290644380887
14, 572.5487884358386, 53.64042220069004, 1.23815050036645e-08, 5, 13, 91.93, 91.82, 96.6745011362575, 62.33050564829581
15, 572.5487884358386, 96.24949011575222, 9.932768474363525e-07, 5, 13, 89.71, 90.28, 0.0, 3.1997290644380887
16, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 2, 13, 96.05, 96.12, 94.60557855741992, 46.07058022068644
17, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 5, 10, 94.0, 93.89, 95.76860816237587, 54.18202710324216
18, 572.5487884358386, 53.64042220069004, 9.932768474363525e-07, 2, 10, 91.5, 91.79, 0.0, 3.19977687326227
19, 1.8105582430271239, 96.24949011575222, 9.932768474363525e-07, 2, 10, 84.28, 85.18, 97.48155527192355, 71.04942666178229
20, 1.8105582430271239, 53.64042220069004, 1.23815050036645e-08, 2, 10, 97.45, 97.42, 0.0, 3.19977687326227
21, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 5, 10, 92.63, 92.64, 97.4284780375432, 70.14521235942789
22, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 2, 13, 93.89, 93.81, 97.35532173209226, 69.14119672836848
23, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 2, 10, 90.25, 90.81, 97.50319086013137, 71.27604545864276
24, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 19, 10, 6.45, 7.09, 0.0, 3.19977687326227
25, 0.01810558243027123, 5.412506582058746, 6.962631931611631e-05, 19, 10, 9.8, 9.91, 97.89667839242911, 78.62204001713272
26, 57254.87884358398, 3.016422610410587, 6.962631931611631e-05, 19, 10, 6.82, 6.82, 0.0, 3.19977687326227
27, 57254.87884358398, 5.412506582058746, 5.585606186682504e-08, 19, 10, 15.2, 15.47, 0.0, 3.19977687326227
28, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 6, 10, 5.97, 6.42, 0.0, 3.19977687326227
29, 57254.87884358398, 5.412506582058746, 6.962631931611631e-05, 19, 14, 8.8, 8.71, 0.0, 3.1997131284808384
30, 57254.87884358398, 3.016422610410587, 5.585606186682504e-08, 6, 14, 20.31, 19.4, 0.0, 3.1997131284808384
31, 0.01810558243027123, 5.412506582058746, 5.585606186682504e-08, 6, 14, 9.8, 9.91, 100.0, 114.82367659707562
32, 0.01810558243027123, 3.016422610410587, 6.962631931611631e-05, 6, 14, 9.8, 9.91, 97.8960557855742, 78.58056920948223
33, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 19, 14, 9.8, 9.91, 100.0, 114.82367659707562
34, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 6, 10, 9.8, 9.91, 100.0, 114.90582277915023
35, 0.01810558243027123, 3.016422610410587, 5.585606186682504e-08, 6, 14, 9.8, 9.91, 100.0, 114.82367659707562
36, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 10, 3, 88.92, 89.7, 0.0, 3.9998256776780265
37, 181.0558243027123, 1711.5848649958707, 2.201777541331045e-07, 10, 3, 17.71, 16.93, 95.90153472589733, 66.86371441952438
38, 5.725487884358383, 953.8765834528191, 2.201777541331045e-07, 10, 3, 93.28, 93.16, 0.0, 3.9998256776780265
39, 5.725487884358383, 1711.5848649958707, 1.766323766264439e-05, 10, 3, 15.67, 14.98, 0.0, 3.9998256776780265
40, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 16, 3, 10.09, 9.61, 95.69436229492887, 64.98027713158693
41, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 10, 7, 92.31, 92.43, 95.90542601874047, 59.519414496311654
42, 5.725487884358383, 953.8765834528191, 1.766323766264439e-05, 16, 7, 9.8, 9.91, 97.92049310462907, 87.6282217950412
43, 181.0558243027123, 1711.5848649958707, 1.766323766264439e-05, 16, 7, 9.8, 9.91, 100.0, 127.71374437024383
44, 181.0558243027123, 953.8765834528191, 2.201777541331045e-07, 16, 7, 9.8, 9.91, 100.0, 127.71374437024383
45, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 10, 7, 9.8, 9.91, 100.0, 127.71374437024383
46, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 16, 3, 9.8, 9.91, 0.0, 3.9998256776780265
47, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 16, 7, 9.8, 9.91, 100.0, 127.71374437024383
48, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
